org_group_rk$org_management_rk$group_nm
2351$1636$Группа 1
2814$1780$Группа 2
2531$1720$Группа 3
2842$1787$Группа 4
2389$323$Группа 5
2553$388$Группа 6
262$375$Группа 7
3284$1856$Группа 8
2447$1711$Группа 9
3273$1850$Группа 10
3077$1820$Группа 11
2558$1726$Группа 12
252$401$Группа 13
427$370$Группа 14
960$402$Группа 15
2752$1768$Группа 16
2840$378$Группа 17
3233$687$Группа 18
2097$687$Группа 19
2568$1728$Группа 20
2108$691$Группа 21
2926$1793$Группа 22
2031$674$Группа 23
3144$1834$Группа 24
2517$1718$Группа 25
2430$1699$Группа 26
3169$1839$Группа 27
719$443$Группа 28
2138$1521$Группа 29
3244$1621$Группа 30
2105$689$Группа 31
2550$349$Группа 32
2960$1799$Группа 33
3241$1621$Группа 34
2518$1719$Группа 35
3240$1621$Группа 36
2486$674$Группа 37
627$378$Группа 38
3599$1889$Группа 39
2469$1594$Группа 40
378$415$Группа 41
58$325$Группа 42
771$439$Группа 43
2638$1754$Группа 44
255$445$Группа 45
390$388$Группа 46
2077$307$Группа 47
2136$696$Группа 48
900$483$Группа 49
3139$1833$Группа 50
3481$1882$Группа 51
3237$443$Группа 52
